Source,Keyword_Type,Total_Articles,Mentions,Percentage
HuffPost,Anthropocene,209527,6,0.0028635927589284434
HuffPost,Great Acceleration,209527,0,0.0
HuffPost,Sixth Extinction,209527,1,0.00047726545982140723
HuffPost,Capitalocene,209527,0,0.0
HuffPost,Climate Crisis,209527,8,0.003818123678571258
The Guardian,Anthropocene,30059,5,0.01663395322532353
The Guardian,Great Acceleration,30059,0,0.0
The Guardian,Sixth Extinction,30059,11,0.03659469709571177
The Guardian,Capitalocene,30059,0,0.0
The Guardian,Climate Crisis,30059,1069,3.556339199574171
Climate Sentiment,Anthropocene,1024,0,0.0
Climate Sentiment,Great Acceleration,1024,0,0.0
Climate Sentiment,Sixth Extinction,1024,0,0.0
Climate Sentiment,Capitalocene,1024,0,0.0
Climate Sentiment,Climate Crisis,1024,23,2.24609375
Twitter,Anthropocene,43943,10,0.022756753066472474
Twitter,Great Acceleration,43943,0,0.0
Twitter,Sixth Extinction,43943,20,0.04551350613294495
Twitter,Capitalocene,43943,1,0.0022756753066472475
Twitter,Climate Crisis,43943,2,0.004551350613294495
The Guardian anthropocene,Anthropocene,466,35,7.510729613733906
The Guardian anthropocene,Great Acceleration,466,0,0.0
The Guardian anthropocene,Sixth Extinction,466,4,0.8583690987124464
The Guardian anthropocene,Capitalocene,466,0,0.0
The Guardian anthropocene,Climate Crisis,466,12,2.575107296137339
The New York Times anthropocene,Anthropocene,57,4,7.017543859649122
The New York Times anthropocene,Great Acceleration,57,0,0.0
The New York Times anthropocene,Sixth Extinction,57,0,0.0
The New York Times anthropocene,Capitalocene,57,0,0.0
The New York Times anthropocene,Climate Crisis,57,1,1.7543859649122806
